textbook,chapter,question
thinkpython2,The Way of the Program,"What are the basic types of instructions that appear in nearly every computer program, and what does each one do?"
thinkpython2,The Way of the Program,How does Python 3’s print function differ syntactically from the print statement in Python 2?
thinkpython2,The Way of the Program,"Explain the difference between a value and a type in Python, and give examples of three different types discussed in the chapter."
thinkpython2,The Way of the Program,"What are some key differences between formal languages and natural languages, especially in terms of ambiguity and syntax?"
thinkpython2,The Way of the Program,"What is debugging, and why is it considered an important skill for programmers beyond just fixing code errors?"
thinkpython2,"Variables, expressions and statements","What are the rules and conventions for naming variables in Python, and why can't certain names like `class` be used as variable names?"
thinkpython2,"Variables, expressions and statements","Explain the difference between an expression and a statement in Python, and provide an example of each."
thinkpython2,"Variables, expressions and statements",How does Python handle the order of operations in a complex expression like `2 + 3 * 4 ** 2`? Use PEMDAS rules to justify your answer.
thinkpython2,"Variables, expressions and statements",Describe how the `+` and `*` operators behave differently when applied to strings compared to when they are applied to numbers.
thinkpython2,"Variables, expressions and statements","What are the three types of errors that can occur in a Python program, and how do they differ from one another?"
thinkpython2,Functions,What is the difference between a parameter and an argument in the context of function calls?
thinkpython2,Functions,Explain the flow of execution when a function is called within another function. How does Python keep track of where to return after a function completes?
thinkpython2,Functions,What is a void function and how does its return value differ from that of a fruitful function? What special value does a void function return if assigned to a variable?
thinkpython2,Functions,How does Python handle variable scope inside functions? What happens if you try to access a local variable outside its function?
thinkpython2,Functions,Describe the purpose of modules and how you use dot notation to access functions within a module.
thinkpython2,Case study: interface design,"What is encapsulation in the context of writing turtle graphics functions, and why is it beneficial?"
thinkpython2,Case study: interface design,How does generalization improve the design of functions like `square` and `polygon` in turtle graphics programming?
thinkpython2,Case study: interface design,"Explain the difference between preconditions and postconditions in function interface design, and why are they important for debugging?"
thinkpython2,Case study: interface design,"How does the `arc` function differ from the `polygon` function, and how does refactoring help in designing these functions?"
thinkpython2,Case study: interface design,"What is the purpose of a docstring in a function, and what key information should it include to improve interface design?"
thinkpython2,Conditionals and recursion,"What is the difference between the division operator `/` and the floor division operator `//` in Python, and when would you use each?"
thinkpython2,Conditionals and recursion,"How does the modulus operator `%` work, and how can it be used to determine if a number is divisible by another?"
thinkpython2,Conditionals and recursion,"Explain the difference between the relational operators `=` and `==` in Python, and why using a single `=` in a conditional expression is an error."
thinkpython2,Conditionals and recursion,Describe how an `if-elif-else` chain works in Python. What happens if multiple conditions in the chain are true?
thinkpython2,Conditionals and recursion,What is recursion in programming? Explain what a base case is and why it is important in a recursive function.
thinkpython2,Fruitful functions,"What is the difference between a void function and a fruitful function in Python, and how does the `return` statement work in a fruitful function?"
thinkpython2,Fruitful functions,Explain the process of incremental development and how it helps in debugging complex functions with an example.
thinkpython2,Fruitful functions,How can you use composition to build more complex functions from simpler ones? Illustrate with the example of calculating the area of a circle given two points.
thinkpython2,Fruitful functions,What are boolean functions and how can you simplify a function like `is_divisible` by directly returning a boolean expression?
thinkpython2,Fruitful functions,"Describe how recursion works in the factorial function, including the role of base cases and the concept of the “leap of faith” when reading recursive functions."
thinkpython2,Iteration,"What is the difference between variable assignment and mathematical equality, and why is the statement `7 = a` invalid in Python?"
thinkpython2,Iteration,"Explain how the `while` statement controls the flow of execution in a loop, including what must happen inside the loop body to avoid an infinite loop."
thinkpython2,Iteration,Describe the purpose of the `break` statement in a `while` loop and give an example scenario where it would be useful.
thinkpython2,Iteration,"Why is it generally unsafe to test floating-point numbers for exact equality in iterative computations like Newton’s method for square roots, and how can this be addressed?"
thinkpython2,Iteration,"What is an algorithm, and how does Newton’s method for computing square roots illustrate the characteristics of an algorithm?"
thinkpython2,Strings,"How does Python index characters in a string, and what is the index of the first and last characters in the string 'banana'?"
thinkpython2,Strings,What is the difference between using a positive index and a negative index to access characters in a string? Give an example.
thinkpython2,Strings,Explain why strings are immutable in Python and demonstrate how you would create a new string with a modified first character.
thinkpython2,Strings,"How does the slice operator [n:m] work on strings, and what happens if the first index is omitted or if the first index is greater than or equal to the second?"
thinkpython2,Strings,"Describe how the find method works on strings, including its optional parameters, and how it differs from the function find(word, letter) presented in the chapter."
thinkpython2,Case study: word play,How does the search pattern used in functions like `has_no_e` and `avoids` help in efficiently determining whether a word contains certain letters?
thinkpython2,Case study: word play,Explain the difference between the functions `uses_only` and `uses_all` in terms of their inputs and how they check the letters of a word.
thinkpython2,Case study: word play,Describe at least two different ways to implement the function `is_abecedarian` and discuss the advantages or disadvantages of each approach.
thinkpython2,Case study: word play,"What is meant by ""reduction to a previously solved problem,"" and how is it applied in the implementation of the function `uses_all`?"
thinkpython2,Case study: word play,"Why is it important to consider special cases, such as the empty string, when testing functions that operate on words?"
thinkpython2,Lists,"What is the difference between a list and a string in Python, and how are list elements accessed and modified?"
thinkpython2,Lists,Explain the concepts of aliasing and mutability in lists. What happens if two variables reference the same list and one of them modifies it?
thinkpython2,Lists,"Describe how list slicing works, including how to use slices to copy a list or update multiple elements at once."
thinkpython2,Lists,"What are the differences between the list methods `append`, `extend`, and the list concatenation operator `+`? How do they affect the original list?"
thinkpython2,Lists,"How do map, filter, and reduce patterns apply to lists? Give an example of each from the chapter."
thinkpython2,Dictionaries,What is the difference between a list and a dictionary in Python in terms of how elements are accessed?
thinkpython2,Dictionaries,How does the `get` method of a dictionary simplify counting occurrences of items compared to using an `if` statement?
thinkpython2,Dictionaries,"Why must dictionary keys be hashable, and why can't mutable types like lists be used as keys?"
thinkpython2,Dictionaries,How does memoization using a dictionary improve the performance of recursive functions like Fibonacci?
thinkpython2,Dictionaries,Explain how you can invert a dictionary that maps keys to values when multiple keys might share the same value.
thinkpython2,Tuples,"What is the main difference between tuples and lists in Python, and how does this difference affect how you use tuples?"
